customer_id,first_name,last_name,email,phone,city,state,country,registration_date,customer_segment
CUST000001,Jesse,Hoffman,jesse.hoffman@interia.pl,+48 694 026 542,New York,NY,USA,2025-10-16,Basic
CUST000002,Paweł,James,paweł.james@gmail.com,+48 32 078 16 18,Florida,FL,USA,2025-07-15,Premium
CUST000003,Aurelia,Bush,aurelia.bush@hotmail.com,001-341-431-6475x25534,New Jersey,NJ,USA,2024-03-15,Basic
CUST000004,Jeremi,Cohen,jeremi.cohen@gmail.com,564-613-9537x67242,California,CA,USA,2025-09-03,Basic
CUST000005,Olgierd,Osborn,olgierd.osborn@hotmail.com,530 122 691,New York,NY,USA,2024-08-21,Premium
,Liwia,Jędrys,liwia.jędrys@hotmail.com,+1-384-651-4627x04828,North Carolina,NC,USA,2024-03-07,Basic
CUST000007,Amber,George,amber.george@onet.pl,(443)903-9117x182,,NJ,USA,2024-05-28,Standard
CUST000007,Bruno,Marquez,bruno.marquez@hotmail.com,+48 538 713 315,Michigan,MI,USA,2025-01-20,Premium
CUST000009,Brianna,Jones,brianna.jones@gmail.com,4519834738,Texas,TX,USA,2025-06-12,Basic
CUST000010,Rafał,Davis,rafał.davis@gmail.com,+48 517 010 651,Illinois,IL,USA,2024-04-05,Premium
CUST000011,,Frycz,sebastian.frycz@o2.pl,478-810-8013,Pennsylvania,PA,USA,2024-11-02,Premium
CUST000012,Stanisław,Gray,stanisław.gray@gmail.com,786 872 343,Pennsylvania,PA,USA,2025-01-13,Standard
CUST000013,Julie,Williams,julie.williams@yahoo.com,3815219136,New York,NY,USA,2025-02-11,Basic
CUST000014,Janina,Kosiak,janina.kosiak@hotmail.com,724 624 751,California,CA,USA,2024-10-17,Standard
CUST000015,Charles,Wagner,charles.wagner@yahoo.com,254.627.8498,Illinois,IL,USA,2025-10-03,Basic
CUST000016,Joseph,Newton,user@domain,+48 723 534 874,New Jersey,NJ,USA,2024-01-23,Premium
CUST000017,Jacek,Smith,jacek.smith@hotmail.com,667 868 011,California,CA,USA,2024-12-19,Standard
CUST000018,Janina,Jordan,janina.jordan@yahoo.com,+48 32 053 31 58,New Jersey,NJ,USA,2025-10-28,Standard
CUST000019,Sara,Hancock,user@domain,(956)534-2160,Pennsylvania,PA,USA,2025-07-05,Basic
CUST000020,Nataniel,Kajstura,nataniel.kajstura@gmail.com,+1-636-454-1458x68501,New Jersey,NJ,USA,2023-12-14,Premium
CUST000021,Mieszko,Walusiak,mieszko.walusiak@yahoo.com,706-308-8356x159,Texas,TX,USA,2024-11-21,Basic
CUST000022,Arkadiusz,Duchnik,arkadiusz.duchnik@yahoo.com,266.629.9468,Texas,TX,USA,2024-04-18,Standard
CUST000023,Roksana,Basaj,roksana.basaj@hotmail.com,+48 32 214 89 51,New Jersey,NJ,USA,2025-03-22,Basic
CUST000024,Lindsay,Johnson,lindsay.johnson@yahoo.com,569.436.7632x016,New Jersey,NJ,USA,2023-12-23,Standard
CUST000025,Samantha,Bryant,samantha.bryant@hotmail.com,32 798 68 72,New York,NY,USA,2024-10-11,Premium
