CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
1,0,Ms.,Elizabeth,G.,Mitchell,,,adventure-works\judy9,elizabeth61@yahoo.com,(0118) 496 0705,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,awHCOxlF=,20B44170-8FF9-46AB-AA65-05C59E94E746,2023-06-14 00:00:00.000
2,0,Mrs.,Kristi,,Shannon,,,adventure-works\christopher4,kristi86@outlook.com,260.784.9263x71,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,djqZyNxB=,62E948C1-C1C8-46C1-A145-D1A2333EAC53,2024-11-27 00:00:00.000
3,0,Mr.,Gregory,,Jennings,,,adventure-works\melissa1,gregory14@adventure-works.com,001-440-221-858,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,KQNzQmCa=,8A1690DC-F26E-456B-9EF6-0FCAF5394EC7,2023-10-07 00:00:00.000
4,0,Ms.,Sophie,M.,Dean,,,adventure-works\timothy6,sophie4@yahoo.com,(0191) 496 0083,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,HGqLGFYD=,1EDD822C-7DF2-4BE9-A167-87197B1BC07A,2025-08-22 00:00:00.000
5,0,Mr.,Eric,,Parker,,,adventure-works\rebecca3,eric55@outlook.com,8774404031,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,HQguXNEr=,F9AC4CFF-3793-44FC-9C68-E85CE6FDBBBF,2023-10-25 00:00:00.000
6,0,Ms.,Tiffany,A.,Goodwin,,,adventure-works\james5,tiffany25@yahoo.com,(620)771-8947x6,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,pvQnZzbt=,B64F794C-483E-46C3-A952-E6769F605A35,2023-05-09 00:00:00.000
7,0,Ms.,Christina,J.,Chavez,,,adventure-works\kayla0,christina9@outlook.com,+1-797-276-0933,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,EwROOcBm=,D73719BE-A79D-4BD8-BECE-9CCD92BFB646,2023-10-11 00:00:00.000
8,0,,Klaus-Peter,V.,Klapp,,,adventure-works\ricky3,klaus-peter34@gmail.com,+49 (0) 5499 64,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,tzVmPpgb=,6BF21E15-1521-4390-943A-5B6B3B9FF71E,2022-10-25 00:00:00.000
9,0,Ms.,Leah,,Knox,,,adventure-works\juan6,leah94@yahoo.com,784-866-0636x30,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,aurQquAe=,7FEFCB75-DFB7-4FE6-9EB0-22F3FADCB97C,2023-05-29 00:00:00.000
10,0,Mr.,Matthew,,Mack,,,adventure-works\justin4,matthew71@yahoo.com,+1-387-859-8115,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,KVPCVlRp=,F0BF1087-1F4B-4DA7-B9B2-9A56E527D42E,2024-06-28 00:00:00.000
11,0,Mr.,Christopher,,Martinez,,Estrada-Kent,adventure-works\donna9,christopher11@outlook.com,(504)575-8910x9,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,WlpdtULr=,4F178CAE-FA73-4169-85FF-AE8E855807AE,2022-12-26 00:00:00.000
12,0,,Adrian,B.,Horton,,Baker-Cross,adventure-works\amanda9,adrian93@outlook.com,(0306) 999 0950,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jUNeuxWw=,15A0DF4F-46A2-4B5B-8591-18EDBB1BE4A8,2022-07-14 00:00:00.000
13,0,Mr.,Michael,L.,Miller,,,adventure-works\jason3,michael33@adventure-works.com,001-805-627-416,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,OOBWybDm=,75238CB6-79FC-4CC2-812C-5EAAB995464E,2022-01-08 00:00:00.000
14,0,Mr.,Troy,,Carlson,,,adventure-works\debra3,troy85@outlook.com,891.308.6628,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,CMfGvcwS=,2003FABB-6FF2-4E65-94B7-C32DD19DF9F2,2023-09-13 00:00:00.000
15,0,Mrs.,Emily,,Stone,,,adventure-works\mark8,emily83@yahoo.com,(262)514-8937,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,WfoJqjkY=,F6B2551A-2CC7-49F1-9E7B-BC21E6E91345,2022-10-13 00:00:00.000
16,0,Ms.,Linda,,Stephens,,,adventure-works\russell8,linda49@outlook.com,3819743714,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,evLvVAPd=,12B0D4FD-BE2D-40A0-98E9-C66A307E725B,2023-08-22 00:00:00.000
17,0,Mr.,Lance,B.,Ware,,Williams-Sloan,adventure-works\leah5,lance22@yahoo.com,001-491-866-958,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,blhWCiqx=,85BBB087-3E4A-41FF-9417-C4C230D94839,2024-12-02 00:00:00.000
18,0,,Robert,K.,Beasley,,,adventure-works\manuel3,robert70@adventure-works.com,+1-970-455-6044,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,cusshxZu=,26072888-8874-4495-9A4A-668993696886,2023-08-25 00:00:00.000
19,0,Mr.,Edward,Z.,Arnold,,"Grant, Harper and Lewis",adventure-works\andrew6,edward77@outlook.com,+441164960847,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,DChXEGRN=,15290361-681B-4504-B4A4-761CF4ECA7DC,2022-04-11 00:00:00.000
20,0,Mr.,Timothy,,Martin,,,adventure-works\jacqueline4,timothy87@gmail.com,001-741-213-513,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,aRDfhddq=,83EDF100-32AC-4D78-AE81-834791A9A14D,2022-03-12 00:00:00.000
21,0,,Dominik,,Burdach,,,adventure-works\diana6,dominik96@gmail.com,+48 32 021 30 3,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,PqlYihua=,B8AC9516-EB63-4E69-A507-DBF7891894B4,2022-10-22 00:00:00.000
22,0,Ms.,Catherine,,Rivera,,,adventure-works\alexander9,catherine19@yahoo.com,(444)440-2153,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fGdqptzi=,EFED2F8B-7FE4-44CA-8C3C-0A28E0492962,2022-11-30 00:00:00.000
23,0,,Alyssa,,Reed,,"Johnson, Ayala and Morrow",adventure-works\jeffrey6,alyssa94@adventure-works.com,7996636732,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,CBQAiwpO=,F7C65E40-B78D-4679-9D9F-1AE340A80945,2022-05-04 00:00:00.000
24,0,Mr.,Jason,,Martinez,,,adventure-works\gary5,jason65@gmail.com,820-486-4933,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,NFlbIxdx=,D88857B2-B57C-4858-9E6D-34BE4CC1DD5C,2025-07-22 00:00:00.000
25,0,Ms.,Hanne,,Junk,,,adventure-works\thomas7,hanne40@outlook.com,+49(0)4643 7606,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,BOTNClLs=,19158001-32A2-470C-84EC-5580168369E4,2024-08-21 00:00:00.000
26,0,Mrs.,Siglinde,R.,Schleich,,Schmidt KG,adventure-works\cathy4,siglinde27@gmail.com,02296517414,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,qaDJkZaW=,8D97CAAE-71EE-47F8-98C5-678F0940F085,2024-12-10 00:00:00.000
27,0,,Clifford,R.,Bailey,,"Mitchell, Carter and Patel",adventure-works\brian0,clifford96@yahoo.com,(0116) 496 0328,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,MTsTBfuO=,59DA2FE6-CF5E-4E07-A8C8-814193E7E651,2022-12-18 00:00:00.000
28,0,,David,,Reed,,,adventure-works\lori6,david56@yahoo.com,497.823.9037,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,ZGInAfbH=,5A986699-0205-4576-A474-BEBD565D53AF,2022-07-13 00:00:00.000
29,0,,Francisco,,Ward,,Jones-Russell,adventure-works\robert9,francisco45@outlook.com,3373400644,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,GEGmbFPg=,D874877C-53C1-45A2-8AED-D2BE91ACCE0E,2023-06-08 00:00:00.000
30,0,,Karl-Ernst,,Preiß,,,adventure-works\shelly2,karl-ernst23@adventure-works.com,+49(0)512330454,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,tImKTtCx=,C07F5466-86D4-4026-A01F-F5F20D7A2534,2024-11-05 00:00:00.000
31,0,Ms.,Cheryl,M.,Lawson,,,adventure-works\justin6,cheryl15@adventure-works.com,789.854.0634x41,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,BitXAXgl=,BF12379C-ECB2-4095-907D-6FFB8C6DB585,2022-11-20 00:00:00.000
32,0,Ms.,Agnieszka,,Fiedler,,FPUH Dzikiewicz Sp.j.,adventure-works\rita2,agnieszka95@outlook.com,+48 536 234 589,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,zuhLViBJ=,D59D69E4-0756-41D0-85F4-95C172B69224,2025-05-14 00:00:00.000
33,0,,Ronald,F.,West,,,adventure-works\kevin7,ronald76@outlook.com,532.950.0217x36,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,UmeriUuh=,56D2E96B-B0C3-42C8-A8F1-43FF814820E9,2024-03-24 00:00:00.000
34,0,Mrs.,Dawn,R.,White,,,adventure-works\nancy3,dawn82@yahoo.com,+1-279-616-0266,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,FmajtTIA=,847973CA-7E66-45F8-B2EE-FA7325D372E8,2024-03-15 00:00:00.000
35,0,,Anthony,,Paul,,Burke PLC,adventure-works\tammy3,anthony66@adventure-works.com,001-820-645-670,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,qemVxmZN=,148EF336-B613-42FC-9A80-5D5F667A7961,2024-04-21 00:00:00.000
36,0,Mr.,Mitchell,,Cortez,,Gordon-Bradley,adventure-works\isabel5,mitchell42@adventure-works.com,001-975-348-241,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,UWsJdWMa=,BD6BB818-9375-4370-9E67-1C2EECD64FF3,2022-04-28 00:00:00.000
37,0,,Nancy,J.,Griffin,,,adventure-works\michelle5,nancy71@adventure-works.com,589-667-3879x01,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,pNbzjAJt=,B540D268-DC5E-458A-A94D-A2073F1BA5B4,2022-09-14 00:00:00.000
38,0,,Joshua,T.,Stuart,,"Cook, Sanchez and Johnson",adventure-works\christina9,joshua72@gmail.com,+1-839-998-7120,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,yKHsDtVS=,12B1C81C-AE7F-41A8-8D79-4A2AFA6590FA,2022-08-08 00:00:00.000
39,0,Mr.,Hans-Rudolf,H.,Rogner,,Knappe,adventure-works\mary6,hans-rudolf67@outlook.com,+49 (0) 7773 17,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,DACBNOWT=,B75CE801-6CB1-4802-B086-9CCE1C3ED8A2,2024-03-22 00:00:00.000
40,0,Mrs.,Amber,V.,Jones,,Brown Group,adventure-works\aaron2,amber50@gmail.com,0292018328,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,rpQfNkbI=,FD6FFEB3-8A9A-4D81-BE0E-CA37B44DCF35,2024-02-15 00:00:00.000
41,0,Mr.,Mark,,Wright,,Young-Reyes,adventure-works\carl8,mark64@gmail.com,+1-288-209-9436,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,ucVLhXGP=,715A8BF3-A038-403C-BD75-B9BF438B5B4F,2025-08-02 00:00:00.000
42,0,Ms.,Tiffany,J.,Bryant,,,adventure-works\angela5,tiffany51@adventure-works.com,001-674-338-018,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,yTBmuvwG=,26E4EF06-2B11-4099-9D6B-808F7E4148BF,2022-02-07 00:00:00.000
43,0,Mrs.,Rebecca,S.,Flores,,,adventure-works\andrew6,rebecca71@outlook.com,719.392.4238,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,vVnEXory=,D271CBCE-992B-46A4-BCB9-DB90711C03BB,2022-04-16 00:00:00.000
44,0,,Juan,M.,Gardner,,Perkins and Sons,adventure-works\cassandra8,juan31@adventure-works.com,(779)643-9284x9,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,RgiRjavv=,0B953496-B2AE-4786-831F-7336224CB76B,2023-11-24 00:00:00.000
45,0,Mr.,Patrick,S.,Cervantes,,,adventure-works\taylor5,patrick76@gmail.com,806.312.9563x90,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,KQtTmVWZ=,3B8021EF-2E74-4C03-86C2-41D07F46248E,2024-01-21 00:00:00.000
46,0,Ms.,Michelle,J.,Wilson,,,adventure-works\mary7,michelle37@gmail.com,+1-520-855-4122,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jqijASyz=,32A30D64-7EDB-4C24-B344-759DCA5E7F0B,2022-03-03 00:00:00.000
47,0,Mrs.,Kathy,,Flowers,,Martin Ltd,adventure-works\carrie7,kathy86@gmail.com,(936)510-6295,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,LpPTENwJ=,607467AF-D7E4-43E1-AED9-486F8966404D,2025-09-01 00:00:00.000
48,0,,Ricky,,Clark,,Summers-Pollard,adventure-works\joseph4,ricky49@outlook.com,+44808 157 0513,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,CUTeoSYK=,6FCEE16B-05E2-4F59-A1D2-19C9EEC920BD,2023-11-20 00:00:00.000
49,0,Mr.,David,,Irwin,,Graves PLC,adventure-works\mary5,david26@yahoo.com,277.831.8022,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,BTQzwWda=,D9A99CAD-44F1-4887-94B1-8CE74C139FAF,2024-04-02 00:00:00.000
50,0,,Fredo,,Kallert,,,adventure-works\brandy7,fredo54@outlook.com,+49(0)2079 6813,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,KvJsCHAZ=,50BC93AD-F859-4BA7-A103-FED873A63772,2025-07-03 00:00:00.000
51,0,Mr.,Eduard,,Bolnbach,,,adventure-works\luke8,eduard84@yahoo.com,04376558547,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,JAplkFux=,F281FF28-7756-4EFF-9D59-3DF8CC30482D,2024-07-18 00:00:00.000
52,0,,Robert,K.,Semenowicz,,,adventure-works\jasmine3,robert31@yahoo.com,534 823 464,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,HfhtgXjN=,FFF85E61-3C77-4597-8FA8-448020BBECBA,2023-09-24 00:00:00.000
53,0,Mrs.,Sandra,,Hayes,,,adventure-works\heidi6,sandra14@yahoo.com,854.431.0065,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fjRboRSQ=,5C5C5061-B4C8-4E6B-BE0B-BE2E61B2A0FB,2022-10-25 00:00:00.000
54,0,Mr.,Frederick,,Kane,,,adventure-works\katie1,frederick62@gmail.com,+1-696-961-6687,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,FLofoeLY=,288A6808-6CDD-4C8D-88AF-326A4658DF56,2025-02-25 00:00:00.000
55,0,,Henrik,,Oderwald,,,adventure-works\donna1,henrik3@yahoo.com,(01437) 06295,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,opnohHAD=,BD834AE5-E46A-4AC0-BA7F-FF0FCD923CB6,2025-07-30 00:00:00.000
56,0,Mrs.,Janice,N.,Oneal,,,adventure-works\dennis0,janice27@outlook.com,823.269.7410x19,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,zbxZUvlS=,CFFF25EF-B597-45D0-B2A2-64C2B3D32E08,2024-07-22 00:00:00.000
57,0,Mrs.,Sara,D.,Patton,,,adventure-works\yvonne6,sara32@outlook.com,514-266-8441x29,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jogwLmQO=,7CDE9A9F-4CF6-41A4-BAB0-CEBC363FAF49,2025-01-26 00:00:00.000
58,0,,Scott,A.,Nichols,,,adventure-works\angela6,scott19@adventure-works.com,(806)956-8557,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,tdtoCkdE=,E7EA65F4-FB46-4CDE-BF55-69201FC3128B,2023-05-04 00:00:00.000
59,0,,Jason,,Williams,,,adventure-works\christopher2,jason67@yahoo.com,838-530-5622,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fNylWtzo=,D6B69E36-51F1-49F2-9A6B-F0C312DE384F,2022-11-27 00:00:00.000
